date,name,start_time,end_time
2025-01-21,Kai Kim,17311,19472
2025-01-13,Kai Diaz,15772,20176
2025-01-31,Cameron Ingram,14951,22814
2025-01-11,Finley Baker,14301,22429
2025-01-14,Carol Williams,85800,
2025-01-19,Jamie Martinez,21773,29541
2025-01-18,Kai Baker,14886,15880
2025-01-05,Elliot Lewis,16984,19508
2025-01-31,Emerson Foster,17332,21345
2025-01-17,Riley Thompson,65520,71460
2025-01-31,Kai Baker,14781,22535
2025-01-24,Alex Hughes,13989,18067
2025-01-14,Skyler Foster,16153,17195
2025-01-11,Cameron Baker,12438,19502
2025-01-25,Sage Baker,21614,27926
2025-01-29,Kai Campbell,15136,23006
2025-01-22,Shawn Lewis,25564,32038
2025-01-07,Payton Baker,82980,
2025-01-26,Skyler Foster,17913,26127
2025-01-28,Kai Baker,20863,28337
2025-01-25,Bailey Campbell,23183,27619
2025-01-13,Harper Baker,22837,31401
2025-01-09,Elliot Campbell,12984,16380
2025-01-23,Sam Adams,14861,19832
2025-01-11,Sam Foster,15166,17317
2025-01-08,Elliot Garcia,12109,18280
2025-01-05,Dakota Adams,16957,24345
2025-01-04,Finley Edwards,14738,20053
2025-01-25,Micah Edwards,13510,20061
2025-01-25,Jesse Kim,14099,18136
2025-01-20,Cameron Adams,21724,24441
2025-01-06,Quinn Foster,14178,23067
2025-01-25,Alex Lewis,15732,23369
2025-01-23,Bailey Adams,14586,16064
2025-01-16,Rowan Edwards,18452,21271
2025-01-04,Quinn Edwards,15197,16414
2025-01-17,Finley Edwards,17018,17770
2025-01-11,Hayden Campbell,23654,32068
2025-01-11,Alex Diaz,20753,23687
2025-01-18,Harper Baker,14985,17187
2025-01-07,Harper Baker,18165,20221
2025-01-30,Jesse Hughes,19195,23349
2025-01-16,Cameron Baker,12938,17302
2025-01-26,Emerson Ingram,18053,20947
2025-01-13,Harper Diaz,28630,33420
2025-01-13,Skyler Campbell,22290,25013
2025-01-20,Kai Johnson,,1904
2025-01-11,Payton Adams,15507,19229
2025-01-07,Kendall Johnson,14018,19845
2025-01-08,Micah Edwards,17871,21871
2025-01-04,Bailey Foster,26762,27541
2025-01-06,Kai Kim,26245,29428
2025-01-22,Elliot Campbell,13998,20003
2025-01-20,Quinn Baker,22910,31847
2025-01-22,Shawn Ingram,14444,22283
2025-01-12,Avery Chen,30689,32814
2025-01-07,Drew Diaz,13591,20696
2025-01-11,Avery Chen,16625,23325
2025-01-20,Shawn Johnson,13473,14283
2025-01-10,Bailey Adams,23607,28203
2025-01-25,Emerson Ingram,16689,22721
2025-01-28,Skyler Baker,22819,27874
2025-01-05,Emerson Kim,17795,23717
2025-01-17,Payton Baker,22437,23619
2025-01-04,Harper Lewis,13184,21104
2025-01-24,Payton Adams,13856,17974
2025-01-17,Skyler Edwards,16040,24578
2025-01-30,Kai Hughes,25463,28996
2025-01-10,Rowan Ingram,21904,26272
2025-01-29,Kai Hughes,25743,27783
2025-01-02,Cameron Adams,23619,32440
2025-01-05,Micah Kim,20463,28048
2025-01-15,Elliot Adams,15730,21193
2025-01-07,Kai Johnson,22788,30732
2025-01-29,Rowan Garcia,19949,28921
2025-01-25,Sage Foster,20207,23406
2025-01-30,Sage Lewis,34149,39812
2025-01-31,Reese Garcia,15318,18937
2025-01-27,Sage Adams,17644,23493
2025-01-12,Avery Chen,15374,22890
2025-01-07,Reese Garcia,15651,23285
2025-01-07,Hayden Campbell,23190,30185
2025-01-05,Parker Adams,26547,27704
2025-01-23,Micah Edwards,14734,19345
2025-01-25,Micah Johnson,33922,39019
2025-01-19,Sage Baker,14868,17661
2025-01-23,Reese Baker,17685,19260
2025-01-26,Harper Diaz,18269,23573
2025-01-14,Emerson Ingram,23496,31109
2025-01-04,Sage Baker,25371,30480
2025-01-27,Bailey Edwards,15166,17407
2025-01-22,Rowan Garcia,22771,23877
2025-01-08,Sage Adams,26795,35395
2025-01-14,Cameron Garcia,16588,22512
2025-01-30,Micah Kim,15467,16250
2025-01-30,Alex Hughes,14116,22629
2025-01-28,Cameron Adams,,1441
2025-01-18,Rowan Edwards,11736,14927
2025-01-14,Hayden Campbell,13043,15105
2025-01-03,Payton Lewis,12026,20525
2025-01-29,Micah Johnson,28323,32342
2025-01-02,Parker Garcia,18627,24566
2025-01-25,Harper Ingram,16678,25357
2025-01-15,Alex Diaz,14068,19930
2025-01-10,Payton Adams,17579,24721
2025-01-28,Drew Foster,15893,20574
2025-01-01,Quinn Campbell,24752,29384
2025-01-21,Drew Edwards,30852,33531
2025-01-15,Bailey Edwards,25986,30010
2025-01-23,Logan Hughes,25662,29672
2025-01-01,Sam Foster,12422,13158
2025-01-14,Jesse Kim,22112,25566
2025-01-05,Jesse Hughes,29686,33194
2025-01-29,Quinn Diaz,16356,17375
2025-01-24,Sage Foster,13308,20743
2025-01-27,Sage Baker,15139,17343
2025-01-15,Micah Adams,15604,23067
2025-01-17,Skyler Baker,14467,17282
2025-01-17,Alex Hughes,14429,17948
2025-01-02,Hayden Garcia,16373,24305
2025-01-19,Cameron Lewis,22023,22794
2025-01-23,Carol Williams,14431,17728
2025-01-03,Bailey Campbell,12879,15395
2025-01-31,Emerson Foster,13080,15425
2025-01-18,Reese Adams,26372,30741
2025-01-01,Emerson Foster,19825,26663
2025-01-07,Bailey Johnson,13367,19835
2025-01-18,Kai Hughes,26027,34258
2025-01-31,Payton Adams,29501,33730
2025-01-20,Carol Williams,64800,72000
2025-01-24,Taylor Brooks,30786,35206
2025-01-09,Micah Edwards,11846,13475
2025-01-22,Emerson Johnson,14321,15160
2025-01-09,Alex Campbell,15948,20564
